['1 ', 'Catedral de Salamanca  ', 'De Lunes a Domingo ', ' ', '9:00 a 13:00 ', ' ', '16:00 a 18:00 ', ' ', '20 ', '1 ', '2014-10-03 03:50:09 ', '2014-10-21 18:17:20 '],
['2 ', 'Plaza Mayor  ', 'Acceso libre ', ' ', ' ', ' ', ' ', ' ', '0 ', '1 ', '2014-10-07 16:51:15 ', '2014-10-18 19:10:36 '],
['3 ', 'Palacio de Monterrey  ', 'Jueves con cita previa ', ' ', ' ', ' ', '11:00 a 13:00 ', ' ', '0 ', '1 ', '2014-10-13 21:39:03 ', '2014-10-18 19:41:33 '],
['4 ', 'Museo De Art Nouveau Y Art Decó  ', 'De Martes a Sábado ', 'Tuesday to Saturday ', '10:00 a 14:00  ', '10:00 to 14:00 ', '17:00 a 20:00  ', '17:00 to 20:00 ', '0 ', '1 ', '2014-10-13 21:40:20 ', '2015-07-15 07:09:51 '],
['5 ', 'La Universidad de Salamanca  ', 'De Lunes a Sábado  ', ' ', ' ', ' ', '10:00 a 18:00 ', ' ', '4 ', '1 ', '2014-10-14 09:28:40 ', '2014-10-18 20:17:24 '],
['6 ', 'La Universidad de Salamanca  ', 'Festivos y Domingos ', ' ', ' ', ' ', '10:00 a 13:00 ', ' ', '-3 ', '1 ', '2014-10-14 09:29:00 ', '2014-10-18 20:18:19 '],
['7 ', 'Casa de las Conchas  ', 'De Lunes a Viernes ', ' ', ' ', ' ', '09:00 a 21:00 ', ' ', '3 ', '1 ', '2014-10-14 09:31:14 ', '2014-10-18 19:56:59 '],
['8 ', 'Casa de las Conchas  ', 'Sábado ', ' ', '09:00 a 14:00 ', ' ', '16:00 a 19:00 ', ' ', '2 ', '1 ', '2014-10-14 09:31:37 ', '2014-10-18 19:57:17 '],
['9 ', 'Casa de las Conchas  ', 'Festivos y Domingos ', ' ', '10:00 a 14:00 ', ' ', '16:00 a 19:00 ', ' ', '1 ', '1 ', '2014-10-14 09:31:59 ', '2014-10-18 19:57:33 '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
['11 ', 'Huerto de Calixto y Melibea  ', 'De Lunes a Domingo ', ' ', 'A partir de las 10:00 ', ' ', 'Hasta la puesta del sol. ', ' ', '0 ', '1 ', '2014-10-14 09:50:22 ', '2014-10-18 20:14:34 '],
['12 ', 'Hotel Ibb Recoletos Coco Salamanca  ', 'Recepción ', ' ', ' ', ' ', 'Abierto 24 horas ', ' ', '0 ', '1 ', '2014-10-15 14:13:08 ', '2014-10-15 14:13:08 '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
['17 ', 'Puente Romano  ', 'Acceso libre ', ' ', ' ', ' ', ' ', ' ', '0 ', '1 ', '2014-10-18 17:57:41 ', '2014-10-18 17:57:41 '],
['18 ', 'Iglesia y Convento de San Esteban  ', 'Lunes a Domingo ', ' ', '10:00 a 14:00 ', ' ', '16:00 a 19:00 ', ' ', '0 ', '1 ', '2014-10-18 18:39:18 ', '2014-10-18 20:04:16 '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
['20 ', 'La Clerecía  ', 'De Lunes a Viernes ', ' ', '10:30 a 12:45 ', ' ', '17:00 a 18:30 ', ' ', '3 ', '1 ', '2014-10-18 19:02:07 ', '2014-10-18 20:05:55 '],
['21 ', 'La Clerecía  ', 'Fines de Semana y Festivos ', ' ', '10:30 a 13:30 ', ' ', '17:00 a 19:15 ', ' ', '0 ', '1 ', '2014-10-18 19:02:45 ', '2014-10-18 19:02:45 '],
[' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' ', ' '],
['23 ', 'Museo de la Historia de la Automoción  ', 'De Martes a Domingo ', ' ', '10:00 a 14:00 ', ' ', '17:00 a 20:00 ', ' ', '0 ', '1 ', '2014-10-19 16:50:57 ', '2014-10-19 16:50:57 '],
['24 ', 'Casa Museo Unamuno  ', 'De Martes a Jueves ', ' ', ' ', ' ', '10:00 a 12:00 ', ' ', '0 ', '1 ', '2014-10-19 17:05:54 ', '2014-10-19 17:05:54 '],
['25 ', 'Sala de Exposiciones de Santo Domingo  ', 'De Martes a Viernes ', ' ', ' ', ' ', '17:00 a 21:00 ', ' ', '0 ', '1 ', '2014-10-19 17:15:37 ', '2014-10-19 17:15:37 '],
['26 ', 'Catedral de Salamanca  ', 'Festivos y Fines de Semana ', ' ', '12:00 a 14:00 ', ' ', '17:00 a 21:00 ', ' ', '5 ', '1 ', '2014-10-19 17:16:10 ', '2014-10-21 18:16:31 '],
['27 ', 'Museo de Salamanca  ', 'De Martes a Sábado ', ' ', '10:00 a 14:00 ', ' ', '16:00 a 19:00 ', ' ', '0 ', '1 ', '2014-10-19 17:32:33 ', '2014-10-19 17:32:33 '],
['28 ', 'Museo de Salamanca  ', 'Domingo ', ' ', '10:00 a 14:00 ', ' ', ' ', ' ', '1 ', '1 ', '2014-10-19 17:33:05 ', '2014-10-19 17:33:05 '],
['29 ', 'Domus Artium 2002 - DA2  ', 'De Martes a Viernes ', ' ', '12:00 a 14:00 ', ' ', '17:00 a 20:00 ', ' ', '0 ', '1 ', '2014-10-19 17:39:22 ', '2014-10-19 17:39:22 '],
